id,subset,source_url,source_domain,crawl_type,source_description,topic,question_type,license,license_status,license_terms_url
8623d41ad0574b90d07acb3a99a5306e3b85966d367b41a6dc4df55ae5b80da2,text,https://ocw.mit.edu/courses/7-03-genetics-fall-2004/pages/assignments/,ocw.mit.edu,qa,,Biology,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
7831d74aa8e955e4ceb9deb91367497778777a3b5ae8e1f5ce0e4332fc9113d7,text,https://ocw.mit.edu/courses/6-046j-design-and-analysis-of-algorithms-spring-2012/download/,ocw.mit.edu,qa,,Math,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
02df090ab2b4cd8fbe18aec21abc81f604f9bdb1d388a73a9d84de98b78fb2c9,text,https://web.evanchen.cc/exams/JMO-2019-notes.pdf,web.evanchen.cc,,,Math,Proof,no licence stated,unverified,
e3f68e664052b22d181c48e59c1c7787562573a922928f225f5ec14da8d4a5dc,text,https://knzhou.github.io/,knzhou.github.io,qa,,Physics,Essay,no licence stated,verified,https://knzhou.github.io/
3a6701d56d5b1407653c2049ab762704059391615f920f8e4a5e7f07610bd8f6,text,https://ocw.mit.edu/courses/6-004-computation-structures-spring-2009/resources/mit6_004s09_tutor13_sol/,ocw.mit.edu,qa,,Other,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
e0c7534201e48912863aeefbc5001375b7bdeb748b29ad390a8d0b8659e50efd,text,https://ocw.mit.edu/courses/6-828-operating-system-engineering-fall-2012/download/,ocw.mit.edu,qa,,Other,Essay,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
48fb517c4a832fc6c4031901d9b2f78605ec46a5d8d32dbfbbb7f791b2adb248,text,https://web.evanchen.cc/exams/TSTST-2012.pdf,web.evanchen.cc,,,Math,Proof,no licence stated,unverified,
603629b1b5207d8cc3ded66b297e3d44485d259f3c8f31a933601d583d7ff479,text,https://ocw.mit.edu/courses/22-313j-thermal-hydraulics-in-power-technology-spring-2007/pages/exams/,ocw.mit.edu,qa,,Physics,Essay,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
1076b52355e9ffd1c38dd2c2cd07ab7acd8faac0679bbdf4d379544a0d1491cc,text,https://ocw.mit.edu/courses/18-02-multivariable-calculus-spring-2006/download/,ocw.mit.edu,qa,,Math,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
1c64c5480010c90289397f6fa673472de28934cc8ff27c80c8d783b75809a102,text,https://www.lboro.ac.uk/departments/mlsc/student-resources/helm-workbooks/,www.lboro.ac.uk,qa,,Math,Calculation,no licence stated,unverified,
6a64c89757dd187636fd569e6acf4726eceefaed34a1f2fd75d9dd64175cd46a,text,https://www.ruf.rice.edu/~eulers/prevtests.html,www.ruf.rice.edu,qa,,Math,Essay,no licence stated,unverified,
910981987225f84c671db9bf57aaac4ce1d06414c276683c05d790bb3d969b44,text,https://ocw.mit.edu/courses/3-40j-physical-metallurgy-fall-2009/download/,ocw.mit.edu,qa,,Physics,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
2b6975b59ae1eef52c0675676057b5cf5238ac416657172446af13fcd5bc72d6,text,https://ocw.mit.edu/courses/18-310-principles-of-discrete-applied-mathematics-fall-2013/download/,ocw.mit.edu,qa,,Math,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
89faed89e6cc01e85160935d6591c062189fded205df589a6af7fc0b340ec884,text,https://ocw.mit.edu/courses/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010/resources/mit6_041f10_assn09_sol/,ocw.mit.edu,qa,,Math,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
1b7ff883981e12d2a021c6b630e430dcf205eb88459f5513011c07e5e84d7bb2,text,https://ocw.mit.edu/courses/6-046j-design-and-analysis-of-algorithms-spring-2015/resources/solutions-to-problem-set-10/,ocw.mit.edu,qa,,Math,Proof,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
fcea2a182a73c11a0c9f6f598e8885081ae8da12bf9b13fc6b5a61c807af01c6,text,https://web.evanchen.cc/elmo/problems.html,web.evanchen.cc,qa,,Math,Proof,no licence stated,unverified,
b2888258da231f7e035d61283faf72d328f47fbb04502af47b0117a8e1234b7f,text,https://ocw.mit.edu/courses/15-010-economic-analysis-for-business-decisions-fall-2004/pages/exams/,ocw.mit.edu,qa,,Finance,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
329ad1dd1ea0c3e6bbecc23f0f6f78ee995cbb5c4f8e27f1c1e8d7b48974687a,text,https://ocw.mit.edu/courses/22-312-engineering-of-nuclear-reactors-fall-2015/download/,ocw.mit.edu,qa,,Physics,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
9774c9c063e314a7ef33f8ee3f1cb37bd2eb8289a3892f3d429c43aa35248382,text,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2005/pages/exams/,ocw.mit.edu,qa,,Physics,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
b1b3fc39acfb8e59c31ef71b91332383a5b6896825a4e473f1693a709fd3a9d2,text,https://ocw.mit.edu/courses/18-704-seminar-in-algebra-and-number-theory-rational-points-on-elliptic-curves-fall-2004/download/,ocw.mit.edu,qa,,Math,Proof,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
28a715915822eb94d9958bfc7b39e690d779dee5cbbdaa84e9ac800ac5e7dfd0,text,https://web.evanchen.cc/exams/USAMO-2015-notes.pdf,web.evanchen.cc,,,Math,Calculation,no licence stated,unverified,
5b94aca7807a09e82a42241ecf6e0c1b10d0ef42d67f6bb68f115dcf7bb0a793,text,https://ocw.mit.edu/courses/14-13-psychology-and-economics-spring-2020/pages/problemsets/,ocw.mit.edu,qa,,Other,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
694add95506aa283bb2416586667219831139fdaaaa799cf8de5a7340cf24f80,text,https://web.evanchen.cc/exams/TSTST-2024.pdf,web.evanchen.cc,,,Math,Calculation,no licence stated,unverified,
e8131f76937a34ebdf376f2570e446ed462a72077b05b9b654b4c93c149e140b,text,https://web.evanchen.cc/exams/USEMO-2024.pdf,web.evanchen.cc,,,Math,Calculation,no licence stated,unverified,
5001abe1aa970183d7e95bcc00ed9b19fbe90c18afc6d3f95f492c2c28efa782,text,https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-fall-2005/pages/lecture-notes/,ocw.mit.edu,qa,,Math,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
bfc8dfea039cefb3b36b48e5359a9b7142f72e543b58a6bfd511020bf3f13220,text,https://ocw.mit.edu/courses/14-30-introduction-to-statistical-method-in-economics-spring-2006/download/,ocw.mit.edu,qa,,Math,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
6b2896a5beae45e958b2b06e4b725dbbe351a169d11feb70c4aa52449bad7297,text,https://ocw.mit.edu/courses/8-821-string-theory-fall-2008/pages/assignments/,ocw.mit.edu,qa,,Physics,Calculation,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
