source_domain,n_items,n_text,n_mm,license,license_status,license_terms_url
ocw.mit.edu,228,140,88,CC BY-NC-SA 4.0,verified,https://ocw.mit.edu/terms/
web.evanchen.cc,52,52,0,no licence stated,unverified,
knzhou.github.io,34,25,9,no licence stated,verified,https://knzhou.github.io/
ipho.olimpicos.net,14,0,14,no licence stated,verified,https://ipho.olimpicos.net/
galois.math.ucdavis.edu,12,12,0,no licence stated,verified,https://galois.math.ucdavis.edu/doku.php?id=start
www.aapt.org,10,4,6,no licence stated,verified,https://www.aapt.org/physicsteam/PT-exams.cfm
users.wfu.edu,8,7,1,no licence stated,unverified,
physrefs.mit.edu,7,5,2,no licence stated,unverified,
www.ruf.rice.edu,4,4,0,no licence stated,unverified,
aapt.org,4,2,2,no licence stated,verified,https://www.aapt.org/physicsteam/PT-exams.cfm
physics.yale.edu,4,4,0,no licence stated,unverified,
www.brumo.org,3,3,0,no licence stated,unverified,
moller.physics.berkeley.edu,3,2,1,no licence stated,unverified,
smp.uq.edu.au,3,3,0,no licence stated,unverified,
physics.montana.edu,3,2,1,no licence stated,unverified,
www.physics.purdue.edu,3,1,2,no licence stated,unverified,
www.math.harvard.edu,3,3,0,no licence stated,unverified,
cmimc.math.cmu.edu,3,0,3,no licence stated,unverified,
safari.ethz.ch,2,1,1,no licence stated,unverified,
www.nbi.dk,2,2,0,no licence stated,unverified,
metaphor.ethz.ch,2,2,0,no licence stated,unverified,
abinitiomp.org,2,2,0,no licence stated,unverified,
physics.umd.edu,2,2,0,no licence stated,unverified,
classroom.physics.tamu.edu,2,2,0,no licence stated,unverified,
www.fys.ku.dk,2,2,0,no licence stated,unverified,
webhome.phy.duke.edu,2,2,0,no licence stated,unverified,
homepage.physics.uiowa.edu,2,2,0,no licence stated,unverified,
www.phys.ufl.edu,2,1,1,no licence stated,unverified,
robotics.caltech.edu,2,1,1,no licence stated,unverified,
www.physics.rutgers.edu,2,2,0,no licence stated,unverified,
gilrefael.org,2,2,0,no licence stated,unverified,
www.caltechmathmeet.org,2,0,2,no licence stated,unverified,
rodan.physics.ucla.edu,2,0,2,no licence stated,unverified,
www.lboro.ac.uk,1,1,0,no licence stated,unverified,
eml.berkeley.edu,1,1,0,no licence stated,unverified,
pages.uoregon.edu,1,1,0,no licence stated,unverified,
www.cse.iitb.ac.in,1,1,0,no licence stated,unverified,
eduardo.physics.illinois.edu,1,1,0,no licence stated,unverified,
arielrubinstein.tau.ac.il,1,1,0,no licence stated,unverified,
scalettar.physics.ucdavis.edu,1,1,0,no licence stated,unverified,
www.cs.umd.edu,1,1,0,no licence stated,unverified,
www.pianetachimica.it,1,1,0,no licence stated,unverified,
scipp.ucsc.edu,1,1,0,no licence stated,unverified,
www.phy.cuhk.edu.hk,1,1,0,no licence stated,unverified,
dornsife.usc.edu,1,1,0,no licence stated,unverified,
www-users.cse.umn.edu,1,1,0,no licence stated,unverified,
www.physics.harvard.edu,1,0,1,no licence stated,unverified,
www.cis.upenn.edu,1,0,1,no licence stated,unverified,
www.asi.edu.au,1,0,1,no licence stated,unverified,
people.math.wisc.edu,1,0,1,no licence stated,unverified,
www.mathschool.com,1,0,1,no licence stated,unverified,
asianphysicsolympiad.org,1,0,1,no licence stated,unverified,
web2.ph.utexas.edu,1,0,1,no licence stated,unverified,
www.pas.rochester.edu,1,0,1,no licence stated,unverified,
